idPNMain,PNG,Name,RAJ2000,DECJ2000,MajDiam,mainClass,subClass
98,002.5-01.7,"Pe 2-11",17:58:31.2,-27:37:05.38,7.8,R,p;s;
100,002.6+05.5,"K 5-3",17:30:41.2,-23:45:00.40,16.0,E,m;s;
101,002.6+08.1,"H 1-11",17:21:17.7,-22:18:35.32,6.0,R,
102,002.6-03.4,"M 1-37",18:05:25.8,-28:22:04.19,0.8,B,m;p;r;s;
103,002.6+04.2,"Th 3-27",17:35:58.5,-24:25:29.14,2.1,E,
104,002.7-52.4,"IC 5148/50",21:59:35.2,-39:23:08.02,132.5,R,m;r;s;
105,002.7-04.8,"M 1-42",18:11:05.0,-28:58:59.34,13.1,B,a;m;r;s;
106,002.8+01.7,"H 2-20",17:45:39.8,-25:40:00.05,2.8,E,a;r;s;
107,002.8+01.8,"Terz N 1567",17:45:28.3,-25:38:12.48,11.8,B,s;
109,002.9-03.9,"H 2-39",18:08:05.77,-28:26:10.8,6.9,B,m;r;s;
111,003.0-02.6,"KFL 4",18:02:51.5,-27:41:00.74,3.0,S,
112,003.1+04.1,"K 5-7",17:37:20.2,-24:03:29.52,15.2,R,
113,003.1+02.9,"Hb 4",17:41:52.8,-24:42:08.4,11.1,B,m;s;
114,003.1+03.4,"H 2-17",17:40:07.4,-24:25:42.56,4.8,E,a;m;r;s;
115,003.2-04.4,"KFL 12",18:10:30.8,-28:19:22.91,3.4,S,
116,003.2-06.2,"M 2-36",18:17:41.4,-29:08:19.57,8.1,R,m;
117,003.3-07.5,"KFL 19",18:23:08.9,-29:43:25.18,7.8,R,
119,003.3-04.6,"Ap 1-12",18:11:35.1,-28:22:37.02,12.0,E,
120,003.3+66.1,"SkAc 1",14:16:22.0,13:52:24.13,50.0,R,
123,003.5-04.6,"NGC 6565",18:11:52.5,-28:10:42.28,18.0,E,a;m;r;s;
124,003.5-02.4,"IC 4673",18:03:18.4,-27:06:22.61,22.0,E,m;s;
125,003.6+03.1,"M 2-14",17:41:57.3,-24:11:15.65,2.2,B,p;s;
126,003.6-02.3,"M 2-26",18:03:11.8,-26:58:30.22,10.5,E,a;p;s;
127,003.6+04.9,"K 5-6",17:35:31.2,-23:11:47.62,22.6,E,m;
128,003.7+07.9,"H 2-8",17:24:45.5,-21:33:35.24,11.9,B,m;s;
129,003.7-04.6,"M 2-30",18:12:34.4,-27:58:10.63,5.1,E,
130,003.8+05.3,"H 2-15",17:34:26.8,-22:53:19.72,4.4,B,a;s;
131,003.8-04.3,"H 1-59",18:11:29.3,-27:46:15.67,6.6,B,p;s;
132,003.8-04.5,"H 2-41",18:12:23.8,-27:52:13.87,9.3,R,
133,003.9-02.3,"M 1-35",18:03:39.31,-26:43:33.7,7.3,E,
134,003.9-03.1,"KFL 7",18:06:50.0,-27:06:19.51,8.1,E,a;r;s;
135,003.9+01.6,"Terz N 2111",17:48:28.4,-24:41:23.93,8.0,E,s;
136,003.9-14.9,"Hb 7",18:55:37.8,-32:15:48.53,3.5,E,m;
137,004.0-11.1,"M 3-29",18:39:25.8,-30:40:36.70,9.7,E,m;r;s;
138,004.0-05.8,"Pe 1-12",18:17:42.3,-28:17:15.79,10.0,E,
139,004.0-03.0,"M 2-29",18:06:40.9,-26:54:55.94,4.8,E,a;m;r;
140,004.1-03.8,"KFL 11",18:10:12.2,-27:16:35.00,3.0,B,
141,004.2-04.3,"H 1-60",18:12:25.2,-27:29:12.95,6.0,S,
142,004.2-03.2,"KFL 10",18:08:01.3,-26:54:01.51,7.1,E,
145,004.3-02.6,"H 1-53",18:05:57.4,-26:29:41.50,2.3,E,
148,004.6+06.0,"H 1-24",17:33:37.6,-21:46:24.78,9.0,E,
149,004.7-11.8,"Hen 2-418",18:44:14.6,-30:19:36.77,14.0,E,m;
150,004.8-05.0,"M 3-26",18:16:11.4,-27:14:57.44,11.0,E,
151,004.8+02.0,"H 2-25",17:49:00.5,-23:42:54.58,3.1,E,a;m;s;
152,004.8-22.7,"Hen 2-436",19:32:06.7,-34:12:57.42,0.6,S,
153,004.9+04.9,"M 1-25",17:38:30.3,-22:08:38.87,5.0,E,m;r;s;
154,004.9-04.9,"M 1-44",18:16:17.3,-27:04:34.61,6.0,E,
155,005.0+04.4,"H 1-27",17:40:17.9,-22:19:17.65,5.2,S,
156,005.0-03.9,"H 2-42",18:12:23.0,-26:32:54.38,13.0,R,r;s;
157,005.0+03.0,"Pe 1-9",17:45:36.7,-23:02:25.44,13.6,R,r;s;
158,005.1-03.0,"H 1-58",18:09:13.8,-26:02:28.79,6.0,E,
159,005.1-08.9,"Hf 2-2",18:32:30.83,-28:43:20.0,21.7,E,m;s;
160,005.1+02.0,"K 5-19",17:49:51.3,-23:27:44.28,8.5,E,
161,005.2-18.6,"StWr 2-21",19:14:23.3,-32:34:16.75,2.7,E,a;m;s;
162,005.2+05.6,"M 3-12",17:36:22.6,-21:31:12.22,6.0,E,
164,005.4-01.9,"PBOZ 34",18:05:25.4,-25:13:35.62,8.8,S,
165,005.5-04.0,"H 2-44",18:13:40.6,-26:08:38.72,6.6,E,
166,005.5-02.5,"M 3-24",18:07:53.9,-25:24:02.70,10.2,R,m;
167,005.5+02.7,"H 1-34",17:48:07.7,-22:46:47.53,11.3,E,
168,005.6-04.7,"KFL 16",18:16:54.0,-26:23:21.12,12.4,E,m;s;
169,005.7-05.3,"M 2-38",18:19:25.2,-26:35:19.93,9.3,E,m;
170,005.7-03.6,"KFL 13",18:12:44.6,-25:44:19.68,14.2,E,s;
171,005.8-06.1,"NGC 6620",18:22:54.2,-26:49:17.00,7.4,R,
172,005.8+05.1,"H 2-16",17:39:55.4,-21:14:11.40,23.6,E,p;s;
174,006.0-03.6,"M 2-31",18:13:16.0,-25:30:04.97,4.0,E,
175,006.0+02.8,"Th 4-3",17:48:37.4,-22:16:48.79,10.1,E,
176,006.0-41.9,"PRMG 1",21:05:53.6,-37:08:40.27,8.2,S,
177,006.2-03.7,"KFL 15",18:14:19.4,-25:20:49.56,15.5,E,m;s;
178,006.2+01.0,"HaTr 8",17:55:55.92,-22:59:01.0,12.0,E,r;
179,006.3+03.3,"H 2-22",17:47:33.9,-21:47:23.10,6.2,E,m;
180,006.3+04.4,"H 2-18",17:43:28.7,-21:09:51.30,3.8,B,m;p;s;
181,006.4-04.6,"Pe 2-13",18:18:13.4,-25:38:08.92,6.6,S,
182,006.4+02.0,"M 1-31",17:52:41.4,-22:21:56.84,3.5,B,p;r;s;
183,006.5-05.8,"SB 13",18:23:00.2,-26:05:15.72,37.8,E,a;p;s;
184,006.5-03.1,"H 1-61",18:12:34.0,-24:50:00.28,2.0,S,
185,006.5+03.4,"PN PBOZ 29",17:47:49.1,-21:32:22.09,9.1,S,
186,006.7-02.2,"M 1-41",18:09:30.6,-24:12:29.99,108.0,B,a;m;s;
187,006.8-08.6,"Al 1",18:34:55.3,-27:06:18.11,14.5,E,a;r;
188,006.8-03.4,"H 2-45",18:14:28.7,-24:43:37.96,4.6,R,
189,006.8+02.3,"Th 4-7",17:52:22.6,-21:51:13.43,6.0,S,
190,006.8-19.8,"Wray 16-423",19:22:10.6,-31:30:38.66,1.4,E,
191,006.8+02.0,"Pe 2-10",17:53:37.1,-21:58:43.14,3.8,E,
192,007.0-06.8,"Vy 2-1",18:27:59.6,-26:06:48.28,4.0,E,
193,007.0+06.3,"M 1-24",17:38:11.6,-19:37:37.63,6.4,E,
194,007.0-06.0,"H 1-66",18:24:57.4,-25:41:54.96,8.2,R,
195,007.2+01.8,"IC 4670",17:55:07.03,-21:44:40.2,7.7,E,r;
197,007.5+07.4,"M 1-22",17:35:10.2,-18:34:20.42,9.0,R,m;
198,007.6+06.9,"M 1-23",17:37:22.0,-18:46:41.88,7.0,E,
199,007.7-05.3,"SB 14",18:23:42.5,-24:47:28.32,19.2,R,r;
200,007.8-03.7,"M 2-34",18:17:15.9,-23:58:54.52,8.0,E,m;
201,007.8-04.4,"H 1-65",18:20:08.8,-24:15:05.08,8.0,E,m;r;s;
202,008.0+03.9,"NGC 6445",17:49:15.3,-20:00:34.45,130.0,B,m;s;
204,008.1-04.7,"M 2-39",18:22:01.1,-24:10:40.19,3.2,E,
205,008.2-04.8,"M 2-42",18:22:32.1,-24:09:27.61,3.8,B,
206,008.3-01.1,"M 1-40",18:08:26.0,-22:16:53.26,9.2,E,m;p;s;
207,008.3-07.3,"NGC 6644",18:32:34.6,-25:07:44.00,4.4,B,a;p;s;
208,008.4-03.6,"H 1-64",18:18:23.9,-23:24:57.13,7.6,E,a;m;p;s;
209,008.6-07.0,"Hen 2-406",18:31:52.8,-24:46:16.54,8.0,E,m;p;
210,008.6-02.6,"MaC 1-11",18:14:50.9,-22:43:55.42,8.4,E,a;m;s;
211,008.8+05.2,"Th 4-2",17:46:09.6,-18:39:30.24,19.0,E,a;m;r;s;
213,009.3-06.5,"SB 15",18:31:14.6,-23:58:05.41,14.4,E,
214,009.3+02.8,"Th 4-9",17:56:00.6,-19:29:26.59,9.3,E,m;
215,009.3+04.1,"Th 4-6",17:50:57.2,-18:46:48.14,9.8,E,
217,009.4-09.8,"M 3-32",18:44:43.1,-25:21:33.84,8.1,E,
218,009.4-05.5,"NGC 6629",18:25:42.5,-23:12:10.58,16.6,E,m;s;
219,009.4-05.6,"SB 16",18:28:21.3,-23:25:25.54,35.4,E,
220,009.6-10.6,"M 3-33",18:48:12.1,-25:28:52.39,7.4,E,
221,009.6+14.8,"NGC 6309",17:14:04.3,-12:54:37.69,22.8,B,m;p;r;s;
222,009.6+10.5,"Abell 41",17:29:02.0,-15:13:05.20,20.2,B,a;s;
223,009.8-04.6,"H 1-67",18:25:05.0,-22:34:52.64,7.0,R,r;
224,010.1+00.7,"NGC 6537",18:05:13.1,-19:50:34.87,11.0,B,m;s;
226,010.4+04.5,"M 2-17",17:52:04.8,-17:36:05.76,6.4,E,
227,010.6+03.2,"Th 4-10",17:57:06.5,-18:06:41.40,13.5,E,
228,010.7+07.4,"Sa 2-230",17:42:02.0,-15:56:07.48,10.0,E,a;r;s;
229,010.7-06.4,"IC 4732",18:33:54.6,-22:38:40.92,1.4,E,a;s;
230,010.7-06.7,"Pe 1-13",18:34:51.7,-22:43:16.97,7.6,R,
231,010.8-01.8,"NGC 6578",18:16:16.5,-20:27:02.66,12.1,E,a;m;s;
233,011.0+06.2,"M 2-15",17:46:54.4,-16:17:24.79,5.5,R,
234,011.0+05.8,"NGC 6439",17:48:19.8,-16:28:44.22,4.5,E,
235,011.0-05.1,"M 1-47",18:29:11.2,-21:46:53.44,6.2,R,
236,011.1+11.5,"M 2-13",17:28:34.2,-13:26:20.83,3.0,E,m;
239,011.3-09.4,"My 121",18:46:35.1,-23:26:48.23,3.0,S,
242,011.4-07.3,"SB 18",18:38:43.1,-22:24:13.97,12.6,E,
243,011.7-00.6,"NGC 6567",18:13:45.16,-19:04:34.1,8.1,E,a;m;r;s;
244,011.7+00.0,"M 1-43",18:11:48.9,-18:46:21.68,7.0,E,
246,011.9+04.2,"M 1-32",17:56:20.0,-16:29:03.95,9.1,E,r;s;
247,012.2+04.9,"PM 1-188",17:54:21.1,-15:55:51.78,16.0,R,a;m;r;s;
248,012.5-09.8,"M 1-62",18:50:26.0,-22:34:22.55,4.8,R,
249,012.6-02.7,"M 1-45",18:23:08.0,-19:17:05.24,9.0,R,
250,013.0-04.3,"Pe 2-14",18:29:59.4,-19:40:37.67,5.5,R,
251,013.1+04.1,"M 1-33",17:58:58.8,-15:32:14.78,4.8,B,p;r;s;
253,013.3+32.7,"Sn 1",16:21:04.4,-00:16:10.52,5.9,E,p;s;
255,013.4-03.9,"M 1-48",18:29:30.0,-19:05:44.59,4.8,E,
