M 21 , 180436.00, -223000.00, 2000.00, Vmag= 7.0 
M 24 , 181824.00, -182500.00, 2000.00, Vmag=11.5 
M 16 , 181848.00, -134700.00, 2000.00, Vmag= 6.5 
M 18 , 181954.00, -170800.00, 2000.00, Vmag= 8.0 
M 17 , 182026.00, -161036.00, 2000.00, Vmag= 7.0 
M 28 , 182432.89, -245211.40, 2000.00, Vmag= 8.5 
M 69 , 183123.23, -322052.70, 2000.00, Vmag= 9.0 
M 25 , 183136.00, -191500.00, 2000.00, Vmag= 4.9 
M 22 , 183624.21, -235412.20, 2000.00, Vmag= 6.5 
M 70 , 184312.64, -321730.80, 2000.00, Vmag= 9.0 
M 26 , 184512.00, -092400.00, 2000.00, Vmag= 9.5 
M 11 , 185106.00, -061600.00, 2000.00, Vmag= 7.0 
M 57 , 185335.16, +330143.20, 2000.00, Vmag= 9.5 
M 54 , 185503.28, -302842.60, 2000.00, Vmag= 8.5 
M 56 , 191635.50, +301104.20, 2000.00, Vmag= 9.5 
M 55 , 193959.40, -305743.50, 2000.00, Vmag= 7.0 
M 71 , 195346.11, +184642.30, 2000.00, Vmag= 8.5 
M 27 , 195936.34, +224315.80, 2000.00, Vmag= 7.5 
M 75 , 200604.75, -215516.20, 2000.00, Vmag= 9.5 
M 29 , 202356.00, +383123.00, 2000.00, Vmag= 9.0 
M 72 , 205327.91, -123213.40, 2000.00, Vmag=10.0 
M 73 , 205900.00, -123800.00, 2000.00, Vmag= 9.0 
M 15 , 212958.38, +121000.60, 2000.00, Vmag= 7.5 
M 39 , 213212.00, +482600.00, 2000.00, Vmag= 5.5 
M  2 , 213327.01, -004923.90, 2000.00, Vmag= 7.5 
M 30 , 214022.03, -231044.60, 2000.00, Vmag= 8.5 
M 52 , 232412.00, +613500.00, 2000.00, Vmag= 8.0 
